"Status van bewoning";"Perioden";"Regio's";"Totale woningvoorraad (aantal)";"Koopwoningen (aantal)";"Huurwoningen/Totaal huurwoningen (aantal)";"Huurwoningen/Eigendom woningcorporatie (aantal)";"Huurwoningen/Eigendom overige verhuurders (aantal)";"Eigendom onbekend (aantal)"
"Totaal";"2012";"Nederland";" 7386743";" 4182889";" 3121980";" 2269883";"  852097";"   81874"
"Totaal";"2013";"Nederland";" 7449298";" 4216760";" 3171057";" 2277246";"  893811";"   61481"
"Totaal";"2014";"Nederland";" 7535315";" 4238259";" 3217156";" 2275389";"  941767";"   79900"
"Totaal";"2015";"Nederland";" 7587964";" 4266966";" 3244238";" 2304505";"  939733";"   76760"
"Totaal";"2016";"Nederland";" 7641323";" 4300406";" 3256930";" 2281742";"  975188";"   83987"
"Totaal";"2017";"Nederland";" 7686178";" 4321868";" 3283957";" 2273731";" 1010226";"   80353"
"Totaal";"2018";"Nederland";" 7740984";" 4386769";" 3275965";" 2268383";" 1007582";"   78250"
"Totaal";"2019";"Nederland";" 7814912";" 4487894";" 3299639";" 2295414";" 1004225";"   27379"
"Totaal";"2020";"Nederland";" 7891786";" 4517921";" 3342018";" 2294219";" 1047799";"   31847"
"Totaal";"2021";"Nederland";" 7966331";" 4549480";" 3401779";" 2295522";" 1106257";"   15072"
"Totaal";"2022";"Nederland";" 8045580";" 4597518";" 3434455";" 2300050";" 1134405";"   13607"
"Totaal";"2023";"Nederland";" 8125229";" 4634411";" 3479588";" 2312981";" 1166607";"   11230"
"Bewoonde woningen";"2012";"Nederland";" 6975208";" 4017623";" 2922982";" 2190987";"  731995";"   34603"
"Bewoonde woningen";"2013";"Nederland";" 7055105";" 4059105";" 2969143";" 2197399";"  771744";"   26857"
"Bewoonde woningen";"2014";"Nederland";" 7143163";" 4087530";" 3017118";" 2200331";"  816787";"   38515"
"Bewoonde woningen";"2015";"Nederland";" 7211229";" 4119362";" 3057052";" 2234114";"  822938";"   34815"
"Bewoonde woningen";"2016";"Nederland";" 7276184";" 4158379";" 3077223";" 2218789";"  858434";"   40582"
"Bewoonde woningen";"2017";"Nederland";" 7331144";" 4189012";" 3102723";" 2211578";"  891145";"   39409"
"Bewoonde woningen";"2018";"Nederland";" 7398054";" 4260602";" 3095275";" 2207510";"  887765";"   42177"
"Bewoonde woningen";"2019";"Nederland";" 7469356";" 4348316";" 3102561";" 2225000";"  877561";"   18479"
"Bewoonde woningen";"2020";"Nederland";" 7547587";" 4380084";" 3145536";" 2224790";"  920746";"   21967"
"Bewoonde woningen";"2021";"Nederland";" 7615576";" 4416428";" 3189735";" 2218417";"  971318";"    9413"
"Bewoonde woningen";"2022";"Nederland";" 7704623";" 4467789";" 3228496";" 2224018";" 1004478";"    8338"
"Bewoonde woningen";"2023";"Nederland";" 7777143";" 4497516";" 3273205";" 2237360";" 1035845";"    6422"
"Niet bewoonde woningen";"2012";"Nederland";"  411535";"  165266";"  198998";"   78896";"  120102";"   47271"
"Niet bewoonde woningen";"2013";"Nederland";"  394193";"  157655";"  201914";"   79847";"  122067";"   34624"
"Niet bewoonde woningen";"2014";"Nederland";"  392152";"  150729";"  200038";"   75058";"  124980";"   41385"
"Niet bewoonde woningen";"2015";"Nederland";"  376735";"  147604";"  187186";"   70391";"  116795";"   41945"
"Niet bewoonde woningen";"2016";"Nederland";"  365139";"  142027";"  179707";"   62953";"  116754";"   43405"
"Niet bewoonde woningen";"2017";"Nederland";"  355034";"  132856";"  181234";"   62153";"  119081";"   40944"
"Niet bewoonde woningen";"2018";"Nederland";"  342930";"  126167";"  180690";"   60873";"  119817";"   36073"
"Niet bewoonde woningen";"2019";"Nederland";"  345556";"  139578";"  197078";"   70414";"  126664";"    8900"
"Niet bewoonde woningen";"2020";"Nederland";"  344199";"  137837";"  196482";"   69429";"  127053";"    9880"
"Niet bewoonde woningen";"2021";"Nederland";"  350755";"  133052";"  212044";"   77105";"  134939";"    5659"
"Niet bewoonde woningen";"2022";"Nederland";"  340957";"  129729";"  205959";"   76032";"  129927";"    5269"
"Niet bewoonde woningen";"2023";"Nederland";"  348086";"  136895";"  206383";"   75621";"  130762";"    4808"
