country,PC_at_home,overburden_DEG1,overburden_DEG2,overburden_DEG3,rent_price_index,mobile_students_from_abroad,minimum_wage_PC_mean_income,inflation_index,mother_age_at_birth,hh_avg_children
Albania,75.26666666666667,7.599999999999999,5.400000000000001,5.1,103.55,0.0,56.20000000000001,106.58999999999999,27.516065369434255,
Austria,47.06666666666666,11.6,5.599999999999999,4.0,111.36,326597.0,,105.41000000000001,30.52111687947243,0.380028093474652
Belgium,53.63333333333333,14.6,6.900000000000001,6.0,103.11,185421.0,43.1,106.44,30.361940934019145,0.4707520312532469
Bulgaria,63.43333333333334,16.1,15.6,22.0,103.52,61041.0,43.29999999999999,102.48,28.33750928287753,0.3452992041892032
Switzerland,47.53333333333333,15.6,12.699999999999998,8.4,101.93,230629.0,,101.03000000000002,31.781192728431744,
Cyprus,60.866666666666674,3.1,1.0,0.6,102.74,41843.0,,100.23,30.984772117962468,0.5237075558274701
Czechia,54.699999999999996,12.9,7.0,4.4,106.40000000000002,185571.0,38.2,105.09999999999998,30.345977092140114,0.42824798984341933
Germany,46.6,17.6,13.300000000000002,10.4,104.59999999999998,803991.0,41.0,104.0,30.855310771419322,0.31667258892578387
Denmark,20.933333333333334,21.2,12.5,10.699999999999998,104.2,143708.0,,101.8,30.474152514802526,0.47554546504021245
Estonia,41.766666666666666,4.6,4.7,2.7000000000000006,122.33,16962.0,40.1,108.05,30.541385311521058,0.425984752223634
Greece,70.43333333333334,43.9,41.3,31.7,92.16000000000001,106883.0,,101.94,31.829072797822437,0.38706789247264867
Spain,66.76666666666667,10.0,9.6,6.0,101.58999999999999,260015.0,39.7,103.46,32.653241663542374,0.4469526202247675
Finland,22.766666666666666,5.400000000000001,4.4,2.7000000000000006,106.36,74525.0,,102.42,30.56819471593417,0.34858615666205967
France,40.4,6.3,4.5,2.4,100.25,743987.0,46.5,103.59999999999998,30.40819776235422,0.48072938529475956
Croatia,77.16666666666667,4.2,4.8,6.0,101.17,18154.0,42.1,102.23,30.242325808023384,0.47441639522258433
Hungary,64.06666666666666,11.300000000000002,7.8,9.6,113.90000000000002,119606.0,43.70000000000001,105.83999999999999,29.92479093722228,0.4016679596586501
Ireland,54.300000000000004,4.5,3.9,2.2,123.40000000000002,74327.0,46.1,100.8,32.4054341947854,0.6517189025051512
Iceland,37.6,10.0,9.1,5.3,113.88,5600.0,,99.86,29.873669268985097,
Italy,69.60000000000001,11.699999999999998,7.2,5.0,100.90000000000002,363790.0,,102.5,32.08886180211444,0.3744942316370888
Lithuania,51.53333333333333,4.1,8.3,6.7,117.08999999999999,19900.0,46.5,107.07,29.681330395849624,0.37073465990769466
Luxembourg,52.6,18.0,7.900000000000001,7.599999999999999,103.32,14976.0,49.4,104.21,31.91296710316193,0.4493444576877235
Latvia,52.76666666666667,6.900000000000001,7.2,6.2,102.37,27822.0,44.70000000000001,105.63,30.05313309166235,0.41425728666744704
Montenegro,76.5,,,,99.37,0.0,39.4,105.39,29.572207465399135,0.6630151278038602
North Macedonia,75.2,9.8,10.0,11.0,100.41000000000001,10732.0,,104.66000000000001,28.609927747020738,0.7158228964544012
Malta,67.13333333333333,1.7,1.6000000000000003,,106.67,5640.0,43.70000000000001,103.95,30.552554580238578,0.42199894235854046
Netherlands,39.266666666666666,12.1,6.400000000000001,4.6,105.96,182360.0,43.70000000000001,103.02,30.88748256935173,0.4215417214485391
Norway,23.900000000000002,14.9,8.9,8.6,105.90000000000002,45772.0,,109.0,30.54952012917506,
Poland,64.33333333333333,8.3,6.0,4.8,108.3,175609.0,46.0,102.59999999999998,29.74904608915878,0.48379848628193
Portugal,66.8,6.0,6.0,5.1,104.66000000000001,93004.0,49.0,103.40000000000002,31.579778122664823,0.4167732284604435
Romania,60.333333333333336,7.0,8.7,13.199999999999998,104.94,103649.0,47.9,104.08,28.233473089164885,0.47355288089455855
Serbia,72.16666666666667,28.0,30.3,35.1,101.3,36231.0,49.4,106.8,29.45634217826748,0.49100235800273034
Sweden,28.700000000000003,10.1,7.5,6.2,102.82,106302.0,,105.12,30.54418773311231,0.40419161676646703
Slovenia,62.833333333333336,7.599999999999999,4.8,3.7000000000000006,113.7,8963.0,51.70000000000001,103.36,30.521803513071898,0.4091523895401263
Slovakia,73.36666666666666,5.599999999999999,4.9,2.7000000000000006,100.84999999999998,47955.0,39.7,103.46,29.188000208329715,0.4758290051937674
Turkey,56.76666666666667,,,,130.05,396952.0,54.20000000000001,139.17,28.365247292923385,0.8878981377836573
United Kingdom,40.266666666666666,16.2,13.1,14.9,103.2,1630137.0,44.79999999999999,105.90000000000002,30.208164633604028,0.48765122547483236
Kosovo,75.66666666666667,,,,97.48,0.0,,102.83999999999999,28.72859905079979,
